Chromosome,-log10(P-value),Log2 Fold Change,Gene,Ensembl ID
chr11,8.968,3.569,TPP1,ENSG00000166340.17_6
chr7,8.605,3.568,TMEM248,ENSG00000106609.16_4
chr4,5.257,3.567,FAT1,ENSG00000083857.14_6
chr11,10.18,3.567,AP001324.1,ENSG00000227615.1_5
chr1,5.825,3.567,AC241585.1,ENSG00000223612.3_5
chr15,49.643,3.567,SNORD18B|RPL4,ENSG00000174444.15_5||ENSG00000202529.1
chr22,5.257,3.567,TSPO,ENSG00000100300.18_4
chr9,5.053,3.567,DOLPP1,ENSG00000167130.18_5
chr12,8.897,3.565,PPP1CC,ENSG00000186298.12_5
chr11,6.177,3.565,STT3A,ENSG00000134910.14_6
chr7,3.918,3.562,YKT6,ENSG00000106636.8_4
chr2,7.515,3.562,STARD7,ENSG00000084090.13_6
chr11,15.244,3.562,TPP1,ENSG00000166340.17_6
chr1,16.899,3.56,GALNT2,ENSG00000143641.10_3
chr14,19.005,3.559,TMED10,ENSG00000170348.9_4
chr13,8.677,3.557,KCTD12,ENSG00000178695.6_3
chr12,6.295,3.557,PEBP1,ENSG00000089220.5_3
chr6,6.61,3.555,LEMD2,ENSG00000161904.12_6
chr16,7.12,3.554,GDE1,ENSG00000006007.12_4
chrX,3.607,3.554,PHF6,ENSG00000156531.16_3
chr11,16.272,3.554,LDHA,ENSG00000134333.14_7
chr17,3.607,3.554,PNPO,ENSG00000108439.10_7
chr17,9.26,3.554,TMEM97,ENSG00000109084.14_4
chr17,4.263,3.554,CRK,ENSG00000167193.8_4
chr17,11.015,3.553,TMEM101,ENSG00000091947.10_5
chr1,13.463,3.553,SSR2,ENSG00000163479.14_6
chr15,78.073,3.552,RPLP1,ENSG00000137818.12_3
chr16,3.015,3.551,VKORC1|AC135050.2,ENSG00000167397.15_5||ENSG00000255439.6_8
chr17,21.356,3.551,P4HB,ENSG00000185624.15_4
chr11,8.418,3.55,TPP1,ENSG00000166340.17_6
chr5,9.351,3.548,CLTB,ENSG00000175416.14_4
chr4,21.695,3.548,MRFAP1,ENSG00000179010.14_2
chr14,4.102,3.546,NPC2,ENSG00000119655.10_5
chr10,20.326,3.545,TM9SF3,ENSG00000077147.16_7
chr11,5.705,3.544,LGR4,ENSG00000205213.14_4
chr1,3.105,3.544,MGST3,ENSG00000143198.13_3
chr19,12.885,3.544,BSG,ENSG00000172270.20_6
chr1,3.952,3.544,URB2,ENSG00000135763.10_3
chr12,23.58,3.543,EIF4B,ENSG00000063046.17_4
chr14,4.374,3.541,DHRS7,ENSG00000100612.14_5
chr13,13.675,3.541,TM9SF2,ENSG00000125304.10_5
chr12,5.686,3.541,SPPL3,ENSG00000157837.16_5
chr22,5.593,3.541,TTLL12,ENSG00000100304.13_5
chr11,8.01,3.541,KMT2A,ENSG00000118058.22_7
chr11,13.131,3.54,PPP1R14B,ENSG00000173457.11_5
chr19,15.469,3.54,SGTA,ENSG00000104969.10_5
chr11,10.524,3.539,PRDX5,ENSG00000126432.14_3
chr6,21.727,3.539,FUCA2,ENSG00000001036.14_4
chr7,17.565,3.539,MDH2,ENSG00000146701.12_3
chr15,8.48,3.537,TMED3,ENSG00000166557.13_4
chr4,3.403,3.536,SMIM20,ENSG00000250317.8_2
chr16,8.886,3.536,CREBBP,ENSG00000005339.15_8
chr18,9.662,3.536,RPL6P27,ENSG00000235552.4_5
chr15,24.599,3.533,HACD3,ENSG00000074696.13_4
chrX,8.092,3.532,LAMP2,ENSG00000005893.16_4
chr11,14.298,3.531,IPO7,ENSG00000205339.10_3
chr11,5.931,3.531,EXT2,ENSG00000151348.14_4
chr14,14.914,3.53,DAD1,ENSG00000129562.11_4
chr16,46.352,3.529,ALDOA|AC093512.2,ENSG00000285043.1_2||ENSG00000149925.20_7
chr6,4.217,3.528,HCG11,ENSG00000228223.3_6
chr16,6.485,3.528,GSE1,ENSG00000131149.19_5
chr16,42.8,3.527,RPS27AP16,ENSG00000224631.4_4
chr16,22.772,3.526,TUFM,ENSG00000178952.11_5
chr19,13.436,3.525,COLGALT1,ENSG00000130309.11_7
chr1,12.685,3.525,ICMT,ENSG00000116237.16_4
chr15,7.404,3.524,NEO1,ENSG00000067141.17_4
chr6,13.131,3.524,H4C8,ENSG00000158406.4_4
chr22,4.955,3.523,FOXRED2,ENSG00000100350.14_4
chr12,3.394,3.523,ACVR1B,ENSG00000135503.13_5
chr15,7.515,3.522,SCAMP2,ENSG00000140497.16_5
chr19,39.226,3.521,RPS19,ENSG00000105372.8_6
chr9,3.619,3.519,ABL1,ENSG00000097007.19_7
chr10,7.362,3.519,PRDX3,ENSG00000165672.7_4
chrX,6.005,3.519,PSMD10,ENSG00000101843.19_4
chr6,27.616,3.517,H4C8,ENSG00000158406.4_4
chr12,4.592,3.516,PTPN11,ENSG00000179295.17_3
chr21,8.968,3.515,PTTG1IP,ENSG00000183255.12_5
chr1,8.42,3.515,CNIH4,ENSG00000143771.12_4
chr1,12.597,3.515,PTPRF,ENSG00000142949.17_4
chr5,8.446,3.513,RPL10P9,ENSG00000233913.7_4
chr1,5.258,3.513,SELENON,ENSG00000162430.17_7
chr8,13.714,3.512,MTDH,ENSG00000147649.10_5
chr10,50.986,3.512,SCD,ENSG00000099194.6_3
chr19,8.25,3.512,ELAVL1,ENSG00000066044.15_5
chr2,11.671,3.512,LAPTM4A,ENSG00000068697.7_4
chr1,21.523,3.512,ATP1A1,ENSG00000163399.16_4
chr10,6.937,3.511,TFAM,ENSG00000108064.11_4
chr11,9.475,3.51,AC024293.1,ENSG00000244313.3_5
chr1,11.929,3.51,PPT1,ENSG00000131238.17_6
chr3,7.877,3.509,TMEM43,ENSG00000170876.7_3
chr19,36.846,3.509,RPS19,ENSG00000105372.8_6
chr11,9.565,3.508,STT3A,ENSG00000134910.14_6
chr12,15.58,3.508,TMBIM6,ENSG00000139644.13_8
chr14,9.948,3.508,TMED10,ENSG00000170348.9_4
chr3,27.398,3.508,CTNNB1,ENSG00000168036.18_8
chr20,7.404,3.507,SERINC3,ENSG00000132824.14_4
chr9,3.46,3.507,SLC44A1,ENSG00000070214.16_3
chr17,5.931,3.507,TMEM97,ENSG00000109084.14_4
chr5,19.519,3.506,MARCHF6,ENSG00000145495.16_5
chr14,8.236,3.506,SEL1L,ENSG00000071537.14_5
chr7,47.606,3.505,ACTB,ENSG00000075624.16_7
chr9,19.631,3.504,SIGMAR1,ENSG00000147955.17_4
chr17,7.543,3.504,UBB,ENSG00000170315.14_6
chr3,13.101,3.504,AC007547.3|RNA5SP150,ENSG00000199839.1||ENSG00000285546.1_1
chr6,13.101,3.504,H4C8,ENSG00000158406.4_4
chr16,5.257,3.504,TXNDC11,ENSG00000153066.12_4
chr13,9.906,3.503,TM9SF2,ENSG00000125304.10_5
chr10,39.369,3.503,SCD,ENSG00000099194.6_3
chr1,10.16,3.502,PTP4A2,ENSG00000184007.21_7
chr12,12.597,3.501,TMBIM6,ENSG00000139644.13_8
chr4,6.879,3.5,CLCN3,ENSG00000109572.14_7
chr19,5.223,3.5,R3HDM4,ENSG00000198858.10_5
chrX,8.604,3.5,ATP6AP1,ENSG00000071553.17_5
chr14,6.879,3.5,YLPM1,ENSG00000119596.18_6
chr11,5.593,3.5,STT3A,ENSG00000134910.14_6
chr17,3.555,3.5,CDK12,ENSG00000167258.14_6
chr22,11.229,3.5,DGCR2,ENSG00000070413.20_6
chr8,5.564,3.5,PTDSS1,ENSG00000156471.13_3
chr17,3.105,3.5,PIGS,ENSG00000087111.21_5
chr5,5.117,3.498,SLC12A2,ENSG00000064651.14_4
chr3,6.27,3.498,HACD2,ENSG00000206527.10_6
chr5,8.095,3.498,FBN2,ENSG00000138829.12_7
chr5,8.25,3.497,MARCHF6,ENSG00000145495.16_5
chr8,10.139,3.495,MTDH,ENSG00000147649.10_5
chr13,8.804,3.495,RFC3,ENSG00000133119.13_5
chr22,9.311,3.495,EIF3L,ENSG00000100129.18_7
chr4,12.84,3.494,DANCR,ENSG00000226950.7_6
chr14,3.765,3.494,COCH,ENSG00000100473.18_5
chr1,5.117,3.491,CREG1,ENSG00000143162.9_5
chr1,3.264,3.491,ATP13A2,ENSG00000159363.18_5
chr1,3.394,3.491,ATP8B2,ENSG00000143515.18_5
chr19,3.264,3.491,ECH1,ENSG00000104823.9_5
chr8,8.976,3.488,TRAM1,ENSG00000067167.8_4
chr5,22.117,3.488,HNRNPAB,ENSG00000197451.12_4
chr11,8.677,3.487,STT3A,ENSG00000134910.14_6
chr11,3.739,3.486,FAR1,ENSG00000197601.13_6
chr1,3.205,3.486,SFT2D2,ENSG00000213064.10_3
chr5,5.888,3.486,CCNG1,ENSG00000113328.19_5
chr8,3.918,3.486,SLC7A2,ENSG00000003989.17_6
chr19,73.095,3.486,TRIM28,ENSG00000130726.12_4
chr6,14.377,3.486,CD164,ENSG00000135535.17_6
chr5,4.592,3.486,AC026403.1,ENSG00000229119.3_5
chr3,3.205,3.486,CYP51A1P1,ENSG00000241095.1_4
chr19,4.206,3.482,,
chr6,4.518,3.482,AL139095.2,ENSG00000220472.1_5
chr22,32.951,3.482,MIF|AP000350.4,ENSG00000251357.4_6||ENSG00000240972.2_5
chr1,10.809,3.482,NID1,ENSG00000116962.15_4
chr3,8.309,3.48,CTNNB1,ENSG00000168036.18_8
chr15,16.444,3.48,TSPAN3,ENSG00000140391.15_5
chr11,10.812,3.48,APLP2,ENSG00000084234.17_5
chr8,8.804,3.48,GPAT4,ENSG00000158669.11_7
chr4,9.089,3.479,TMEM33,ENSG00000109133.13_3
chrX,5.931,3.478,TIMP1,ENSG00000102265.12_3
chr11,8.044,3.478,GANAB,ENSG00000089597.18_5
chr11,10.471,3.475,STT3A,ENSG00000134910.14_6
chr15,8.886,3.474,TSPAN3,ENSG00000140391.15_5
chr15,5.416,3.474,ADPGK,ENSG00000159322.17_3
chr8,41.188,3.473,RPL8,ENSG00000161016.17_6
chr10,3.323,3.472,PFKP,ENSG00000067057.17_4
chr11,4.818,3.472,PRPF19,ENSG00000110107.9_5
chr2,4.217,3.472,,
chr3,8.01,3.472,FLNB,ENSG00000136068.14_5
chr22,5.593,3.472,FBLN1,ENSG00000077942.19_8
chr10,5.593,3.472,LIPA,ENSG00000107798.18_5
chr6,23.787,3.471,H2AC11,ENSG00000196787.3_3
chr13,7.877,3.471,ALG5,ENSG00000120697.9_5
chr19,37.635,3.47,RPS16,ENSG00000105193.9_4
chr1,3.836,3.47,ATPAF1,ENSG00000123472.12_6
chr19,29.17,3.47,RPS19,ENSG00000105372.8_6
chr12,3.105,3.47,FAR2,ENSG00000064763.11_6
chr10,20.328,3.469,SCD,ENSG00000099194.6_3
chr3,26.426,3.468,AC073861.1,ENSG00000242299.1_5
chr7,44.231,3.467,ACTB,ENSG00000075624.16_7
chr14,6.952,3.465,SEL1L,ENSG00000071537.14_5
chr1,9.216,3.465,CLIC4,ENSG00000169504.15_4
chr17,7.211,3.465,PHB,ENSG00000167085.11_7
chr10,4.924,3.465,ITGB1,ENSG00000150093.19_6
chr17,10.471,3.463,NPLOC4,ENSG00000182446.14_5
chr5,7.612,3.462,SLC12A2,ENSG00000064651.14_4
chr3,11.969,3.461,TFRC,ENSG00000072274.13_5
chr4,16.615,3.461,TMEM33,ENSG00000109133.13_3
chr2,3.828,3.458,TEX261,ENSG00000144043.12_5
chr1,3.394,3.458,AC118553.2|SLC35A3,ENSG00000117620.15_7||ENSG00000283761.1_8
chr2,3.46,3.458,SLC39A10,ENSG00000196950.14_4
chr17,8.044,3.458,EIF5A,ENSG00000132507.18_3
chr4,18.179,3.458,MRFAP1,ENSG00000179010.14_2
chr1,6.485,3.457,EPRS1,ENSG00000136628.18_4
chr1,11.609,3.455,PARP1,ENSG00000143799.13_4
chr22,3.808,3.454,FBLN1,ENSG00000077942.19_8
chr22,9.588,3.454,SF3A1,ENSG00000099995.19_8
chr12,3.105,3.454,ANKLE2,ENSG00000176915.15_4
chr1,7.301,3.452,SELENON,ENSG00000162430.17_7
chr19,6.295,3.452,PTPRS,ENSG00000105426.16_5
chr20,4.518,3.451,DTD1,ENSG00000125821.12_5
chr5,8.886,3.451,ETF1,ENSG00000120705.13_5
chr1,14.244,3.45,RCC1,ENSG00000180198.16_5
chr12,6.362,3.449,DYNLL1,ENSG00000088986.11_5
chr19,11.929,3.449,NCLN,ENSG00000125912.11_4
chr1,26.493,3.449,ENO1,ENSG00000074800.16_8
chr11,11.929,3.448,STT3A,ENSG00000134910.14_6
chr3,7.877,3.448,TFRC,ENSG00000072274.13_5
chr11,4.653,3.447,WDR74,ENSG00000133316.15_6
chr1,6.168,3.446,RPS13P2,ENSG00000228929.1_4
chr19,28.124,3.446,RPL18,ENSG00000063177.13_6
chr1,14.591,3.445,CLSTN1,ENSG00000171603.18_4
chr13,4.592,3.445,CLN5,ENSG00000102805.15_6
chr2,4.592,3.445,SLC35F6,ENSG00000213699.9_4
chr6,5.922,3.443,EZR,ENSG00000092820.18_5
chr7,3.213,3.443,HOXA10,ENSG00000253293.5_5
chr6,4.682,3.443,CDC5L,ENSG00000096401.8_3
chr12,4.217,3.443,ACVR1B,ENSG00000135503.13_5
chr3,5.306,3.443,CMTM6,ENSG00000091317.8_4
chr1,6.952,3.443,NDC1,ENSG00000058804.12_4
chr17,3.213,3.443,ALDH3A2,ENSG00000072210.19_6
chr19,25.986,3.443,BSG,ENSG00000172270.20_6
chr3,3.213,3.443,IP6K1,ENSG00000176095.12_4
chr21,53.904,3.442,APP,ENSG00000142192.21_7
chr3,5.966,3.442,MCM2,ENSG00000073111.14_5
chr20,6.792,3.44,CTSA,ENSG00000064601.18_4
chr19,7.804,3.44,PTPRS,ENSG00000105426.16_5
chr11,11.856,3.439,DHCR7,ENSG00000172893.15_6
chr12,11.679,3.439,PPP1CC,ENSG00000186298.12_5
chr1,45.622,3.438,ENO1,ENSG00000074800.16_8
chr8,5.416,3.438,PTDSS1,ENSG00000156471.13_3
chr19,68.225,3.438,TRIM28,ENSG00000130726.12_4
chr17,31.197,3.437,ACTG1,ENSG00000184009.12_8
chr11,7.515,3.437,B4GAT1,ENSG00000174684.7_4
chr11,5.712,3.436,POGLUT3,ENSG00000178202.13_5
chr5,10.834,3.435,LMAN2,ENSG00000169223.15_6
chr8,5.257,3.435,CTSB,ENSG00000164733.21_5
chr8,5.245,3.435,LAPTM4B,ENSG00000104341.17_5
chr4,3.682,3.435,MSMO1,ENSG00000052802.13_4
chr22,4.1,3.435,AC004832.3|MTFP1,ENSG00000242114.6_4||ENSG00000249590.7_8
chr9,3.229,3.434,SLC31A1,ENSG00000136868.11_3
chr4,10.471,3.433,SLC30A9,ENSG00000014824.14_4
chr20,15.823,3.432,YWHAB,ENSG00000166913.13_4
chr2,3.394,3.431,CHPF,ENSG00000123989.14_5
chr1,3.571,3.431,HAX1,ENSG00000143575.15_7
chr2,7.956,3.431,SLC35F5,ENSG00000115084.14_4
chr12,4.924,3.431,SCARB1,ENSG00000073060.16_6
chr11,7.529,3.431,NDUFC2|NDUFC2-KCTD14,ENSG00000259112.2_4||ENSG00000151366.13_6
chr2,6.485,3.431,ANTXR1,ENSG00000169604.19_3
chr11,8.092,3.43,NDUFC2|NDUFC2-KCTD14,ENSG00000151366.13_6||ENSG00000259112.2_4
chr8,6.362,3.429,TRAM1,ENSG00000067167.8_4
chr4,6.952,3.426,SLIT2,ENSG00000145147.20_8
chr5,400.0,3.425,RACK1,ENSG00000204628.12_7
chr11,400.0,3.425,EEF1G,ENSG00000254772.10_5
chr8,3.918,3.424,EXTL3,ENSG00000012232.9_3
chr5,3.305,3.424,AC104117.2,ENSG00000253144.1_5
chr20,3.305,3.424,PIGU,ENSG00000101464.10_5
chr1,20.777,3.423,ARF1,ENSG00000143761.16_4
chr1,52.669,3.423,ENO1,ENSG00000074800.16_8
chr10,3.394,3.422,GTPBP4,ENSG00000107937.19_3
chr19,7.804,3.422,LSR,ENSG00000105699.16_5
chr2,3.029,3.422,PPP1CB,ENSG00000213639.10_6
chr6,28.309,3.422,H3C2,ENSG00000286522.1_2
chr17,87.403,3.422,RPS2P46,ENSG00000189343.7_4
chr19,3.938,3.422,TIMM50,ENSG00000105197.11_5
chr10,42.672,3.42,TM9SF3,ENSG00000077147.16_7
chr3,7.515,3.419,CMTM6,ENSG00000091317.8_4
chr8,7.515,3.419,TRAM1,ENSG00000067167.8_4
chr3,25.882,3.418,AC073861.1,ENSG00000242299.1_5
chr3,25.882,3.418,AC073861.1,ENSG00000242299.1_5
chr13,3.839,3.416,COL4A1,ENSG00000187498.16_6
chr11,12.368,3.416,SF1,ENSG00000168066.20_5
chr17,12.596,3.415,SRSF2,ENSG00000161547.16_4
chr1,6.792,3.415,TMEM50A,ENSG00000183726.11_3
chr12,18.168,3.415,TMBIM6,ENSG00000139644.13_8
chr7,8.01,3.415,SLC35B4,ENSG00000205060.11_4
chr9,11.39,3.414,SET,ENSG00000119335.16_3
chr16,5.446,3.413,AC135050.2|VKORC1,ENSG00000255439.6_8||ENSG00000167397.15_5
chr17,4.903,3.412,SLC38A10,ENSG00000157637.13_6
chr15,4.217,3.412,SCAMP2,ENSG00000140497.16_5
chr3,4.382,3.412,TMEM43,ENSG00000170876.7_3
chr1,8.52,3.412,PTPRF,ENSG00000142949.17_4
chr9,5.888,3.412,VCP,ENSG00000165280.16_6
chr11,4.903,3.412,HSD17B12,ENSG00000149084.13_5
chr17,400.0,3.412,RPS2P46,ENSG00000189343.7_4
chrX,13.688,3.411,PLS3,ENSG00000102024.18_4
chr1,12.72,3.411,ICMT,ENSG00000116237.16_4
chr11,5.21,3.409,TMX2,ENSG00000213593.10_4
chr1,6.828,3.409,DHCR24,ENSG00000116133.13_5
chr17,13.799,3.408,P4HB,ENSG00000185624.15_4
chr2,7.877,3.407,RPLP0P6,ENSG00000213553.4_4
chr3,11.797,3.406,SRPRB,ENSG00000144867.12_5
chr1,20.995,3.405,ARF1,ENSG00000143761.16_4
chr8,5.931,3.404,NDUFB9,ENSG00000147684.9_4
chr3,6.177,3.404,FLNB,ENSG00000136068.14_5
chr6,3.394,3.404,FOXO3,ENSG00000118689.15_4
chr15,3.46,3.404,IREB2,ENSG00000136381.13_4
chr22,5.986,3.404,TMEM184B,ENSG00000198792.13_7
chr3,46.562,3.404,CTNNB1,ENSG00000168036.18_8
chr6,5.931,3.404,MANEA,ENSG00000172469.16_4
chr11,3.394,3.404,TTC17,ENSG00000052841.15_4
chr21,46.236,3.403,APP,ENSG00000142192.21_7
chr19,51.195,3.403,EEF2,ENSG00000167658.16_4
chr16,3.619,3.401,GOT2,ENSG00000125166.13_4
chr2,3.918,3.401,COPS9,ENSG00000172428.11_7
chr20,9.565,3.401,PIGT,ENSG00000124155.18_7
chr6,4.263,3.401,PTP4A1,ENSG00000112245.12_5
chr17,4.263,3.401,PIGS,ENSG00000087111.21_5
chr1,12.514,3.399,ATP1A1,ENSG00000163399.16_4
chr4,10.762,3.399,LETM1,ENSG00000168924.15_4
chr3,5.33,3.398,FSTL1,ENSG00000163430.12_6
chr2,3.836,3.398,DNAJC10,ENSG00000077232.18_6
chr12,4.777,3.397,HMGA2,ENSG00000149948.13_7
chr5,22.549,3.396,HNRNPA0,ENSG00000177733.7_4
chr11,4.924,3.396,DDB1,ENSG00000167986.14_4
chr5,3.571,3.396,SEMA6A,ENSG00000092421.16_6
chr6,17.643,3.396,H2AC11,ENSG00000196787.3_3
chr11,5.593,3.396,AP001267.5|KMT2A,ENSG00000285827.1_1||ENSG00000118058.22_7
chr20,3.682,3.396,SLC23A2,ENSG00000089057.15_6
chr1,6.792,3.396,TMEM201,ENSG00000188807.13_4
chr4,4.217,3.396,AC104619.1,ENSG00000241411.1_5
chr17,3.607,3.396,GNA13,ENSG00000120063.10_4
chr11,3.682,3.396,CTSD|AC068580.4,ENSG00000117984.14_6||ENSG00000250644.3_7
chr2,3.323,3.396,SNX17,ENSG00000115234.11_3
chr12,3.682,3.396,SPPL3,ENSG00000157837.16_5
chr1,4.308,3.396,TAGLN2,ENSG00000158710.14_3
chr1,13.86,3.396,DHCR24,ENSG00000116133.13_5
chr5,65.39,3.395,CANX,ENSG00000127022.15_7
chr21,6.937,3.393,SLC19A1,ENSG00000173638.19_6
chr21,6.005,3.393,ATP5PO,ENSG00000241837.7_6
chr5,8.549,3.393,C5orf15,ENSG00000113583.8_4
chr11,7.226,3.392,CD81,ENSG00000110651.11_5
chr6,4.247,3.392,MOXD1,ENSG00000079931.15_4
chr1,10.236,3.392,PTPRF,ENSG00000142949.17_4
chr8,62.58,3.391,RPL8,ENSG00000161016.17_6
chr15,3.363,3.39,IGF1R,ENSG00000140443.15_6
chr19,24.048,3.389,KDELR1,ENSG00000105438.9_5
chr3,4.979,3.387,CMTM6,ENSG00000091317.8_4
chr3,29.55,3.387,RPL15,ENSG00000174748.21_8
chr3,6.649,3.387,ATP11B,ENSG00000058063.16_5
chr12,7.872,3.386,SNORA53,ENSG00000212443.1
chr2,6.485,3.386,STARD7,ENSG00000084090.13_6
chr17,5.257,3.385,GAA,ENSG00000171298.13_5
chr19,75.986,3.385,EEF2,ENSG00000167658.16_4
chr7,17.408,3.384,hsa-mir-3654,MI0016054
chr17,4.592,3.383,CPD,ENSG00000108582.12_7
chr1,10.812,3.382,DHCR24,ENSG00000116133.13_5
chr12,45.275,3.382,ATP2A2,ENSG00000174437.17_5
chr9,10.18,3.381,SPIN1,ENSG00000106723.17_3
chr15,22.097,3.381,RPL4,ENSG00000174444.15_5
chr22,11.679,3.381,EIF3L,ENSG00000100129.18_7
chr3,5.416,3.38,FLNB,ENSG00000136068.14_5
chr5,10.726,3.38,AC113367.1,ENSG00000244192.1_5
chr6,4.955,3.38,H4C11,ENSG00000197238.4_3
chr11,4.104,3.38,NCAPD3,ENSG00000151503.12_5
chr6,6.792,3.38,CD164,ENSG00000135535.17_6
chr12,3.264,3.38,SBNO1,ENSG00000139697.14_3
chr9,6.177,3.378,SPTLC1,ENSG00000090054.15_5
chr10,22.117,3.377,SCD,ENSG00000099194.6_3
chrM,400.0,3.376,MT-ND4L,ENSG00000212907.2_1
chr7,4.653,3.376,FKBP9,ENSG00000122642.11_4
chr12,26.591,3.375,SLC38A2,ENSG00000134294.14_5
chr17,400.0,3.375,RPS2P46,ENSG00000189343.7_4
chr12,10.236,3.374,ATP2A2,ENSG00000174437.17_5
chr7,10.334,3.374,CPVL,ENSG00000106066.15_5
chr1,5.053,3.372,PSMB2,ENSG00000126067.12_4
chr1,43.178,3.372,ATP1A1,ENSG00000163399.16_4
chr19,35.257,3.372,RPL18,ENSG00000063177.13_6
chr6,11.969,3.372,KLHDC3,ENSG00000124702.18_3
chr5,11.112,3.37,HINT1,ENSG00000169567.12_4
chr1,13.802,3.37,SLC16A1,ENSG00000155380.11_8
chr6,5.257,3.37,PM20D2,ENSG00000146281.6_3
chr6,6.774,3.37,H2AC4,ENSG00000278463.1_3
chr9,4.367,3.369,GPR107,ENSG00000148358.19_3
chr12,3.323,3.369,C12orf57,ENSG00000111678.11_7
chr8,4.661,3.367,SLC39A14,ENSG00000104635.14_6
chr8,5.564,3.367,ERLIN2,ENSG00000147475.17_6
chr19,4.924,3.367,RBM42,ENSG00000126254.12_4
chr17,21.765,3.366,ACTG1,ENSG00000184009.12_8
chr2,19.65,3.364,LAPTM4A,ENSG00000068697.7_4
chr7,11.39,3.364,CPVL,ENSG00000106066.15_5
chr12,3.316,3.362,CDK4,ENSG00000135446.17_7
chr8,24.311,3.361,RPS20,ENSG00000008988.9_3
chr5,9.453,3.361,LPCAT1,ENSG00000153395.10_4
chrX,6.295,3.361,PRDX4,ENSG00000123131.13_3
chr3,5.416,3.36,SEC62,ENSG00000008952.17_3
chrM,400.0,3.36,MT-RNR2,ENSG00000210082.2
chr19,7.877,3.36,POLR2E,ENSG00000099817.12_4
chr3,20.716,3.36,ARL6IP5,ENSG00000144746.7_3
chr19,3.571,3.359,PTPRS,ENSG00000105426.16_5
chr22,11.588,3.359,SUN2,ENSG00000100242.15_5
chr15,22.719,3.359,TSPAN3,ENSG00000140391.15_5
chr11,4.232,3.358,RBM14-RBM4|RBM4,ENSG00000248643.5_4||ENSG00000173933.20_4
chr7,4.263,3.358,FKBP14,ENSG00000106080.11_3
chr13,8.446,3.357,LAMP1,ENSG00000185896.11_3
chr11,4.592,3.355,SLC37A4,ENSG00000137700.18_9
chr19,33.93,3.355,BSG,ENSG00000172270.20_6
chr15,3.918,3.355,NEO1,ENSG00000067141.17_4
chr17,3.682,3.355,CANT1,ENSG00000171302.17_7
chr15,3.682,3.355,UBL7,ENSG00000138629.16_6
chr12,5.593,3.355,H4-16,ENSG00000197837.3_3
chr6,32.331,3.354,EEF1A1,ENSG00000156508.18_6
chr2,11.345,3.354,RTN4,ENSG00000115310.18_6
chr11,13.802,3.354,STT3A,ENSG00000134910.14_6
chr1,8.677,3.354,CLSTN1,ENSG00000171603.18_4
chr12,20.244,3.353,TMBIM6,ENSG00000139644.13_8
chr16,25.635,3.353,RPS15A,ENSG00000134419.15_5
chr3,18.45,3.352,SRPRB,ENSG00000144867.12_5
chr6,7.67,3.35,HLA-C,ENSG00000204525.16_3
chr8,4.661,3.35,SLC7A2,ENSG00000003989.17_6
chr17,10.097,3.349,SCDP1,ENSG00000226549.3_2
chr3,12.232,3.349,CNBP,ENSG00000169714.16_5
chr1,7.099,3.347,IRF2BP2,ENSG00000168264.10_3
chr18,5.117,3.346,SEH1L,ENSG00000085415.16_5
chr3,3.828,3.346,HACD2,ENSG00000206527.10_6
chr5,7.371,3.346,PPP2CA,ENSG00000113575.10_5
chr19,5.564,3.346,PLD3,ENSG00000105223.20_4
chr19,66.925,3.345,EEF2,ENSG00000167658.16_4
chr21,22.097,3.345,APP,ENSG00000142192.21_7
chr20,3.283,3.343,SLC23A2,ENSG00000089057.15_6
chr1,19.954,3.343,PTPRF,ENSG00000142949.17_4
chr19,57.177,3.343,EEF2,ENSG00000167658.16_4
chr1,8.734,3.343,SOAT1,ENSG00000057252.13_3
chr11,6.076,3.342,FADS1,ENSG00000149485.19_5
chr19,4.1,3.341,SGTA,ENSG00000104969.10_5
chr16,4.941,3.341,PAGR1,ENSG00000280789.2_4
chr8,6.295,3.341,TUSC3,ENSG00000104723.21_4
chr19,39.958,3.341,RPL18,ENSG00000063177.13_6
chr3,7.67,3.34,SEC61A1,ENSG00000058262.10_3
chr15,18.219,3.34,PSMA4,ENSG00000041357.16_4
chrX,10.236,3.34,ATP6AP1,ENSG00000071553.17_5
chr5,3.579,3.34,MARCHF6,ENSG00000145495.16_5
chr11,3.549,3.339,SLC35F2,ENSG00000110660.15_7
chr11,9.26,3.337,HYOU1,ENSG00000149428.19_8
chr8,11.229,3.336,AC115837.1,ENSG00000253341.1_5
chr3,5.258,3.336,ALG3,ENSG00000214160.10_4
chr7,8.474,3.335,YWHAG,ENSG00000170027.7_5
chr2,10.303,3.335,XPO1,ENSG00000082898.17_4
chr19,8.901,3.335,LSM4,ENSG00000130520.10_7
chr12,10.945,3.333,PHB2,ENSG00000215021.9_4
chr15,14.089,3.333,HACD3,ENSG00000074696.13_4
chr7,3.952,3.332,CDCA7L,ENSG00000164649.20_6
chr1,14.57,3.332,PTPRF,ENSG00000142949.17_4
chr1,52.647,3.332,ENO1,ENSG00000074800.16_8
chr5,39.799,3.331,CANX,ENSG00000127022.15_7
chr12,12.654,3.331,PGAM5,ENSG00000247077.7_4
chr3,7.108,3.331,HACD2,ENSG00000206527.10_6
chr12,5.814,3.33,RPLP0,ENSG00000089157.16_6
chrX,13.982,3.33,BEX3,ENSG00000166681.14_5
chr16,5.507,3.33,GABARAPL2,ENSG00000034713.8_3
chr7,8.52,3.329,MTPN,ENSG00000105887.11_5
chr8,9.553,3.329,TUBBP1,ENSG00000127589.4_2
